Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L4032,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,it /security room,32.4,כן
L4032,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,9,06-May-25,it /security room,32.4,כן
L4032,Mechanical Equipment,AWV 1200,AWV 1200,2,06-May-25,it /security room,32.4,כן
L4033,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,service zone (fire),9.86,לא
L4033,Mechanical Equipment,AWSQ 450(right),AWSQ 450,1,06-May-25,service zone (fire),9.86,לא
L4037,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,06-May-25,women w.c,13.59,לא
L4037,Electrical Fixtures,Frame_Socket,Type 2,3,06-May-25,women w.c,13.59,לא
L4037,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,women w.c,13.59,לא
L4038,Electrical Equipment,M_Disconnect Switches,1000A,1,06-May-25,electricity shaft,3.08,כן
L4038,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210  GEN,1,06-May-25,electricity shaft,3.08,כן
L4038,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,06-May-25,electricity shaft,3.08,כן
L4040,Electrical Equipment,M_Disconnect Switches,1000A,1,06-May-25,electricity shaft,5.16,לא
L4040,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,06-May-25,electricity shaft,5.16,לא
L4040,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,06-May-25,electricity shaft,5.16,לא
L4044,Electrical Fixtures,Frame_Socket,Normal x2,1,06-May-25,LSS/FMS room,8.19,כן
L4044,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,2,06-May-25,LSS/FMS room,8.19,כן
L4044,Mechanical Equipment,AWSQ 450(right),AWSQ 450,1,06-May-25,LSS/FMS room,8.19,כן
L4045,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,corridor,17.81,לא
L4046,Electrical Fixtures,M_Junction Boxes - W,W,1,06-May-25,cleaning room,6.41,לא
L4046,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,1,06-May-25,cleaning room,6.41,לא
L4046,Mechanical Equipment,AW 450(right),AW 450,1,06-May-25,cleaning room,6.41,לא
L4047,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,06-May-25,LSS shaft,0.9,כן
L4052,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,06-May-25,HSSD,1,לא
L4055,Electrical Fixtures,Frame_Socket,Normal x2,1,06-May-25,restaurant exhaust  shaft,7.47,כן
L4055,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,1,06-May-25,restaurant exhaust  shaft,7.47,כן
L4056,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,4,06-May-25,room 2,12.74,לא
L4059,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,1,06-May-25,plumbing shaft,6.68,לא
L4060,Electrical Fixtures,Frame_Socket,1 AC,1,06-May-25,shelter,64.66,כן
L4060,Electrical Fixtures,Frame_Socket,Type 2,2,06-May-25,shelter,64.66,כן
L4060,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,2,06-May-25,shelter,64.66,כן
L4060,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,shelter,64.66,כן
L4060,Mechanical Equipment,AWSQ 2000(right),AWSQ 2000,1,06-May-25,shelter,64.66,כן
L4062,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,1,06-May-25,Systems room,4.71,כן
L4065,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,1,06-May-25,it /security room,32.85,לא
L4065,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,06-May-25,it /security room,32.85,לא
L4065,Electrical Fixtures,Frame_Socket,1 AC GEN,2,06-May-25,it /security room,32.85,לא
L4065,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,06-May-25,it /security room,32.85,לא
L4065,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,it /security room,32.85,לא
L4065,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,9,06-May-25,it /security room,32.85,לא
L4065,Mechanical Equipment,AWV 1200,AWV 1200,2,06-May-25,it /security room,32.85,לא
L4069,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,smoke lobby,12.33,כן
L4071,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,06-May-25,women w.c,19.84,לא
L4071,Electrical Fixtures,Frame_Socket,Type 2,5,06-May-25,women w.c,19.84,לא
L4071,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,women w.c,19.84,לא
L4072,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,06-May-25,men w.c,20.89,כן
L4072,Electrical Fixtures,Frame_Socket,Type 2,4,06-May-25,men w.c,20.89,כן
L4072,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,men w.c,20.89,כן
L4073,Electrical Fixtures,M_Junction Boxes - W,W,1,06-May-25,cleaning room,8.51,לא
L4077,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x160x210 UPS,1,06-May-25,electricity cabinet,2.56,לא
L4077,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,06-May-25,electricity cabinet,2.56,לא
L4078,Electrical Equipment,M_Disconnect Switches,1000A,2,06-May-25,electricity cabinet,7.6,לא
L4078,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,06-May-25,electricity cabinet,7.6,לא
L4078,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210  GEN,1,06-May-25,electricity cabinet,7.6,לא
L4078,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,06-May-25,electricity cabinet,7.6,לא
L4080,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,06-May-25,LSS/FMS room,14.37,לא
L4080,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K,3,06-May-25,LSS/FMS room,14.37,לא
L4081,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,elevators Lobby,38.2,כן
L4082,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,06-May-25,corridor,28.57,כן
L4082,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,corridor,28.57,כן
L4085,Electrical Fixtures,Frame_Socket,Type 2,1,06-May-25,recycling station,2.01,לא
L4088,Electrical Fixtures,Frame_Socket,Type 2,3,06-May-25,fly box,13.78,לא
L4088,Electrical Fixtures,M4,D-18 (Conference Rooms)-M4,1,06-May-25,fly box,13.78,לא
L4090,Electrical Fixtures,Frame_Socket,Type 2,2,06-May-25,fly box,13.78,לא
L4095,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,06-May-25,HSSD,0.65,כן
L4100,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,06-May-25,corridor,22.23,לא
L4100,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),3,06-May-25,corridor,22.23,לא
L4101,Lighting Fixtures,EXIT Base_Ceiling_Wall_R18,Exit,1,06-May-25,corridor,19.1,לא
L4101,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,corridor,19.1,לא
L4102,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,corridor,12.75,כן
L4103,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),1,06-May-25,corridor,12.98,כן
L4104,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),2,06-May-25,corridor,20.03,כן
L4105,Lighting Fixtures,Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,Emergency LENS LF3 (CD),3,06-May-25,corridor,25.45,לא
L4112,Electrical Fixtures,Frame_Socket,Type 2,2,06-May-25,BALCONY,11.38,לא
L4113,Electrical Fixtures,Frame_Socket,Type 2,2,06-May-25,fly box,14,כן
L5002,Mechanical Equipment,AWSQ 1000,AWSQ 1000,1,18-May-25,shelter,51.68,לא
L5002,Mechanical Equipment,AWSQ 1500,AWSQ 1500,1,18-May-25,shelter,51.68,לא
L5003,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,18-May-25,men w.c,13.49,לא
L5003,Electrical Fixtures,Frame_Socket,Type 2,3,18-May-25,men w.c,13.49,לא
L5005,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K 24h,1,18-May-25,passengers elevators,14.82,כן
L5006,Mechanical Equipment,AW 800,AW 800,1,18-May-25,elevators Lobby,32.56,לא
